Vegtable	Cost	Price	Min	Max	Cubic Feet Per Carton
Whipped Potatoes	2.15	2.27	300	1500	1.25
Creamed Corn	2.20	2.48	400	2000	1.25
Black-eyd Peas	2.40	2.70	250	900	1.25
Artichokes	4.80	5.20	0	150	1.25
Carrots	2.60	2.92	300	1200	1.25
Succotash	2.30	2.48	200	800	1.25
Okra	2.35	2.20	150	600	1.25
Cauliflower	2.85	3.13	100	300	1.25
Green Peas	2.25	2.48	750	3500	1.25
Spinach	2.10	2.27	400	2000	1.25
Lima beans	2.80	3.13	500	3300	1.25
Brussel sprouts	3.00	3.18	100	500	1.25
Green Beans	2.60	2.92	500	3200	1.25
Squash	2.50	2.70	100	500	1.25
Broccoli	2.90	3.13	400	2500	1.25
